family,condition,clean_benchmark,benchmark,clean_accuracy,benchmark_accuracy,robustness_ratio
gemma,error_targeted_icl,gsm8k,gsm_symbolic,0.085,0.015,0.1764705882352941
gemma,error_targeted_icl,gsm8k,gsm_plus,0.085,0.04,0.47058823529411764
gemma,error_targeted_icl,gsm8k,gsm_ic,0.085,0.055,0.6470588235294117
gemma,error_targeted_icl,gsm8k,bigbench_hard,0.085,0.255,3.0
gemma,error_targeted_icl,gsm8k,bigbench_hard_tracking,0.085,0.145,1.7058823529411762
gemma,error_targeted_icl,gsm8k,folio,0.085,0.4644808743169399,5.46448087431694
gemma,error_targeted_icl_correct_only,gsm8k,gsm_symbolic,0.28,0.11,0.39285714285714285
gemma,error_targeted_icl_correct_only,gsm8k,gsm_plus,0.28,0.145,0.5178571428571428
gemma,error_targeted_icl_correct_only,gsm8k,gsm_ic,0.28,0.28,1.0
gemma,error_targeted_icl_correct_only,gsm8k,bigbench_hard,0.28,0.22,0.7857142857142857
gemma,error_targeted_icl_correct_only,gsm8k,bigbench_hard_tracking,0.28,0.165,0.5892857142857143
gemma,error_targeted_icl_correct_only,gsm8k,folio,0.28,0.4972677595628415,1.7759562841530052
gemma,error_targeted_icl_random,gsm8k,gsm_symbolic,0.095,0.07,0.736842105263158
gemma,error_targeted_icl_random,gsm8k,gsm_plus,0.095,0.065,0.6842105263157895
gemma,error_targeted_icl_random,gsm8k,gsm_ic,0.095,0.075,0.7894736842105263
gemma,error_targeted_icl_random,gsm8k,bigbench_hard,0.095,0.255,2.6842105263157894
gemma,error_targeted_icl_random,gsm8k,bigbench_hard_tracking,0.095,0.115,1.2105263157894737
gemma,error_targeted_icl_random,gsm8k,folio,0.095,0.46994535519125685,4.9467932125395455
gemma,random_few_shot,gsm8k,gsm_symbolic,0.29,0.045,0.15517241379310345
gemma,random_few_shot,gsm8k,gsm_plus,0.29,0.185,0.6379310344827587
gemma,random_few_shot,gsm8k,gsm_ic,0.29,0.275,0.9482758620689656
gemma,random_few_shot,gsm8k,bigbench_hard,0.29,0.245,0.8448275862068966
gemma,random_few_shot,gsm8k,bigbench_hard_tracking,0.29,0.155,0.5344827586206897
gemma,random_few_shot,gsm8k,folio,0.29,0.366120218579235,1.2624835123421898
gemma,self_consistency,gsm8k,gsm_symbolic,0.245,0.19,0.7755102040816326
gemma,self_consistency,gsm8k,gsm_plus,0.245,0.215,0.8775510204081632
gemma,self_consistency,gsm8k,gsm_ic,0.245,0.24,0.9795918367346939
gemma,self_consistency,gsm8k,bigbench_hard,0.245,0.315,1.2857142857142858
gemma,self_consistency,gsm8k,bigbench_hard_tracking,0.245,0.17,0.6938775510204083
gemma,self_consistency,gsm8k,folio,0.245,0.46994535519125685,1.9181443069030892
gemma,targeted_few_shot,gsm8k,gsm_symbolic,0.205,0.1,0.48780487804878053
