model,benchmark,n_samples,zero_shot_baseline_acc,zero_shot_acc,targeted_few_shot_answer_only_acc,random_few_shot_acc,targeted_few_shot_acc,targeted_few_shot_k5_acc,error_targeted_icl_acc,error_targeted_icl_random_acc,error_targeted_icl_correct_only_acc,self_consistency_acc,recovery_targeted_few_shot_answer_only,recovery_random_few_shot,recovery_targeted_few_shot,recovery_targeted_few_shot_k5,recovery_error_targeted_icl,recovery_error_targeted_icl_random,recovery_error_targeted_icl_correct_only,recovery_self_consistency
Gemma/Gemma3-1B,bigbench_hard,200,0.235,0.21,0.18,0.195,0.23,0.22,0.22,0.24,0.22,0.255,0.12,0.177,0.209,0.19,0.196,0.215,0.177,0.158
Gemma/Gemma3-4B,bigbench_hard,200,0.585,0.585,0.585,0.57,0.505,0.5,0.53,0.515,0.525,0.675,0.325,0.289,0.301,0.349,0.241,0.301,0.229,0.361
Llama/Llama3-2-1-5B,bigbench_hard,200,0.05,0.03,0.29,0.24,0.185,0.2,0.165,0.2,0.205,0.025,0.284,0.242,0.175,0.191,0.17,0.201,0.211,0.026
Llama/Llama3-2-3B,bigbench_hard,200,0.375,0.43,0.325,0.33,0.365,0.3,0.345,0.38,0.41,0.405,0.254,0.246,0.377,0.246,0.325,0.333,0.325,0.333
Qwen/Qwen2-5-3B,bigbench_hard,200,0.375,0.405,0.305,0.42,0.405,0.335,0.37,0.4,0.38,0.375,0.252,0.311,0.261,0.244,0.286,0.286,0.286,0.261
Qwen/Qwen2-math-1-5B,bigbench_hard,200,0.3,0.22,0.185,0.335,0.245,0.26,0.32,0.29,0.315,0.295,0.154,0.288,0.218,0.212,0.295,0.205,0.282,0.237
Gemma/Gemma3-1B,bigbench_hard_tracking,200,0.27,0.19,0.375,0.2,0.215,0.22,0.22,0.28,0.245,0.205,0.321,0.136,0.154,0.191,0.173,0.241,0.173,0.049
Gemma/Gemma3-4B,bigbench_hard_tracking,200,0.9,0.865,0.85,0.75,0.865,0.85,0.835,0.715,0.72,0.865,0.481,0.519,0.667,0.63,0.37,0.37,0.222,0.037
Llama/Llama3-2-1-5B,bigbench_hard_tracking,200,0.01,0.05,0.1,0.165,0.115,0.135,0.14,0.12,0.13,0.015,0.105,0.163,0.121,0.137,0.147,0.116,0.126,0.016
Llama/Llama3-2-3B,bigbench_hard_tracking,200,0.45,0.475,0.34,0.47,0.285,0.245,0.44,0.37,0.26,0.47,0.276,0.381,0.257,0.19,0.352,0.257,0.238,0.41
